-2344,141420,214061
316252903,-2706,140978,214103
316253605,-2541,141154,214446
316254307,-2591,141028,214287
316255009,-2445,141105,214033
316255711,-2528,141150,213981
316256413,-2493,140913,214268
316257115,-2348,140963,213887
316257817,-2164,141019,214335
316258518,-2172,140849,214143
316259220,-2136,140896,214087
316259922,-2106,140734,214242
316260623,-2186,140678,214233
316261326,-2045,140973,213902
316262029,-2384,140983,214227
316262730,-2459,140823,214333
316263433,-2577,140921,214134
316264136,-2694,141198,214256
316264837,-2579,140974,214147
316265538,-2350,141068,214475
316266241,-2391,140820,214175
316266942,-2483,140981,214065
316267643,-2373,141127,214034
316268346,-2398,140780,214519
316269049,-2117,140646,214332
316269750,-2182,140700,214377
316270453,-2049,140681,214164
316271156,-2217,140619,214195
316271857,-2513,140762,214210
316272559,-2086,141025,214191
316273262,-2376,141076,214077
316273963,-2465,141045,214258
316274665,-2696,140995,214039
316275368,-2472,140887,214192
316276070,-2463,140685,213944
316276772,-2328,140997,214295
316277475,-2265,140798,214202
316278177,-2279,140992,214303
316278879,-2078,141053,214198
316279581,-1934,140569,214102
316280283,-2176,140751,214288
316280985,-2177,140704,214324
316281687,-2283,140761,214146
316282390,-2347,140989,214092
316283092,-2367,140931,214197
316283794,-2171,141179,214121
316284497,-2496,141383,214082
316285199,-2272,140969,213964
316285901,-2348,141053,213965
316286603,-2263,141100,214036
316287305,-2235,140826,214017
316288008,-2147,140831,214507
316288710,-2030,140783,214052
316289412,-2172,140704,214197
316290115,-2140,140830,213934
316290817,-2162,140793,213946
316291518,-2304,140799,214461
316292221,-2363,140885,213881
316292923,-2412,140797,213993
316293624,-2364,140999,213816
316294327,-2405,141059,214485
316295030,-2337,140901,214065
316295731,-2384,141031,214021
316296434,-2362,140891,214141
316297137,-2296,140853,214168
316297838,-2258,140891,214045
316298539,-2138,140658,213953
316299242,-2488,140798,213984
316299943,-2064,140797,214243
316300644,-2488,140793,214216
316301347,-2186,140762,214538
316302049,-2621,140706,214065
316302750,-2528,140916,214307
316303453,-2536,140856,214390
316304156,-2781,141062,214367
316304857,-2645,140829,214184
316305559,-2378,140914,214306
316306262,-2523,140921,214313
316306963,-2259,140738,214263
316307665,-2216,140997,214387
316308368,-2481,140757,214336
316309070,-2169,141081,214485
316309772,-2190,140591,213927
316310475,-2261,140985,214064
316311177,-2433,140967,214513
316311879,-2544,140990,214027
316312581,-2466,141032,214187
316313283,-2409,140727,214052
316313985,-2595,141032,214335
316314687,-2257,140828,214132
316315390,-2781,140889,213953
316316092,-2499,140654,214027
316316794,-2403,140795,214538
316317497,-2497,140707,214188
316318199,-2453,140805,214293
316318901,-2194,140969,213855
316319603,-2193,140635,213858
316320305,-2131,141087,214385
316321007,-2275,140826,214216
316321709,-2354,140955,214164
316322411,-2386,141106,214682
316323113,-2523,140865,214427
316323815,-2506,141079,214183
316324516,-2354,140888,214163
316325218,-2594,140801,214314
316325920,-2189,140600,214184
316326621,-2406,141044,214200
316327323,-2202,140919,214536
316328026,-2411,140641,214276
316328727,-2280,141008,214233
316329429,-2146,140922,214000
316330132,-2392,141052,214266
316330834,-2421,141201,214261
316331535,-2406,140981,214485
316332238,-2302,141029,213938
316332940,-2701,140949,214016
316333641,-2460,141078,214030
316334344,-2067,140738,214225
316335047,-2116,140798,214191
316335748,-2109,140868,214386
316336451,-2349,141033,214318
316337154,-2106,141151,214144
316337855,-2229,141071,214267
316338556,-2331,140851,214315
316339259,-2278,140753,214332
316339960,-2450,140817,213968
316340661,-2427,141023,214299
316341364,-2362,140949,213949
316342067,-2591,140842,214072
316342768,-2674,140888,214373
316343471,-2375,140887,214270
316344174,-2603,140752,214218
316344875,-2272,140836,213811
316345577,-2221,140756,214236
316346280,-2056,140757,214299
316346981,-2132,140781,214011
316347682,-2227,140658,214045
316348385,-2231,140883,214346
316349088,-2258,140895,214194
316349789,-2006,140833,214205
316350492,-2532,141071,214458
316351195,-2517,140779,214427
316351896,-2258,140826,214002
316352598,-2370,140866,214092
316353301,-2347,140770,214029
316354003,-2209,141053,213945
316354705,-2173,140757,213982
316355408,-2338,140889,214185
316356110,-2275,140963,214095
316356812,-2009,140934,214022
316357514,-2239,141106,214189
316358216,-2001,141108,214183
316358918,-2451,141207,214324
316359620,-2319,140986,213906
316360322,-2443,141035,214066
316361025,-2497,140916,214358
316361727,-2092,140925,214008
316362429,-2313,140878,213957
316363131,-2463,140879,214200
316363833,-2107,140991,214025
316364534,-2300,140700,213845
316365236,-2238,140690,214129
316365938,-2207,141039,214082
316366639,-2511,140766,214290
316367341,-2073,141076,213908
316368044,-2307,140911,213967
316368745,-2316,140871,214570
316369447,-2202,140802,214221
316370150,-2357,140905,214274
316370851,-2428,140707,214347
316371552,-2344,140993,214178
316372255,-2521,140837,214009
316372957,-2092,140830,214020
316373658,-2721,140955,213812
316374361,-2682,140527,214360
316375064,-2498,140833,214111
316375765,-2398,140738,213913
316376468,-2255,140778,214054
316377171,-2319,140942,213924
316377872,-2518,140841,214011
316378573,-2518,140832,214351
316379276,-2531,140996,214185
316379977,-2545,140884,214181
316380678,-2459,140594,214172
316381380,-2529,140963,214339
316382083,-2334,140674,214419
316382784,-2437,140640,214086
316383486,-2434,141194,214140
316384189,-2282,140979,213933
316384890,-2347,140837,214079
316385591,-2131,140963,214257
316386294,-2357,140759,214096
316386996,-2329,140853,214053
316387697,-2378,140705,214185
316388400,-2488,140855,214166
316389103,-2225,140544,214095
316389804,-2540,140848,214239
316390505,-2453,140703,214276
316391208,-2328,141060,213853
316391909,-2286,140836,214126
316392610,-2206,141107,214149
316393313,-2451,141106,214341
316394016,-2405,140896,214218
316394717,-2115,141034,214355
316395420,-2318,140941,214403
316396123,-2275,140921,214229
316396824,-2535,141082,214146
316397526,-2449,140805,214244
316398229,-2299,140715,214303
316398930,-2403,140746,214158
316399632,-2645,140909,214131
316400335,-2373,140777,213965
316401037,-2522,140770,214109
316401739,-2527,141000,214100
316402442,-2504,140811,214169
316403144,-2669,141019,214124
316403845,-2258,140994,213941
316404547,-2266,140949,214041
316405249,-2454,141264,214343
316405950,-2304,141054,214153
316406652,-2829,140915,214248
316407354,-2468,140689,214535
316408056,-2365,140974,214123
316408758,-2380,140823,214104
316409460,-2302,140878,214127
316410162,-2515,140716,214371
316410864,-2490,140756,214194
316411566,-2564,141080,214128
316412268,-2446,140810,214277
316412970,-2523,141102,214227
316413672,-2511,141179,214350
316414374,-2382,140838,214405
316415076,-2357,141042,213888
316415778,-2407,141130,213867
316416480,-2481,140974,214238
316417182,-2306,141111,214209
316417884,-2225,140910,214415
316418586,-2481,140926,214460
316419288,-2269,140838,214399
316419990,-2284,140846,214094
316420692,-2509,140924,214009
316421395,-2529,140812,214112
316422097,-2437,140750,213845
316422799,-2271,141182,214140
316423501,-2591,141105,214229
316424203,-2223,140921,214075
316424904,-2172,141060,214057
316425606,-2223,140891,214237
316426308,-2235,141166,214215
316427010,-2255,140831,214002
316427712,-2436,140781,213922
316428415,-2163,140965,213993
316429117,-2203,140778,214502
316429819,-2113,140994,214137
316430521,-2070,140826,214283
316431223,-2167,141031,214313
316431924,-2058,140887,214158
316432626,-2278,140820,213900
316433328,-2405,141081,214412
316434030,-2125,140810,214197
316434732,-2273,141026,213915
316435434,-2236,140734,213945
316436136,-1939,141049,213930
